Transaction,Item,date_time,period_day,weekday_weekend,weekday,wind,condition,temp_f,temp_c,dew_point_f,dew_point_c,wind_speed_mph,wind_gust_mph,wind_speed_kmh,wind_gust_kmh,humidity_%,pressure_in,precipitation_in,precipitation_accumulation_in
19,Bread,2016-10-30 10:43:08,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
20,Bread,2016-10-30 10:45:22,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
20,Medialuna,2016-10-30 10:45:22,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
21,Coffee,2016-10-30 10:49:29,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
21,Coffee,2016-10-30 10:49:29,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
21,Medialuna,2016-10-30 10:49:29,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
21,Bread,2016-10-30 10:49:29,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
22,Jam,2016-10-30 10:52:15,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
23,Scandinavian,2016-10-30 10:53:49,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
23,Muffin,2016-10-30 10:53:49,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
24,Bread,2016-10-30 10:54:33,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
25,Scandinavian,2016-10-30 10:55:22,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
26,Fudge,2016-10-30 10:56:08,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
27,Scandinavian,2016-10-30 11:02:19,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
28,Coffee,2016-10-30 11:03:24,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
28,Bread,2016-10-30 11:03:24,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
29,Bread,2016-10-30 11:05:30,morning,weekend,6,WSW,Fair,57,14.0,50,10.0,8,0,12.87472,0.0,0.77,30,0,0
29,Jam,2016-10-30 11:05:30,morning,weekend,6,WSW,Fair,57,14.0,50,10.0,8,0,12.87472,0.0,0.77,30,0,0
30,Bread,2016-10-30 11:07:19,morning,weekend,6,WSW,Fair,57,14.0,50,10.0,8,0,12.87472,0.0,0.77,30,0,0
31,Basket,2016-10-30 11:12:56,morning,weekend,6,WSW,Fair,57,14.0,50,10.0,8,0,12.87472,0.0,0.77,30,0,0
32,Scandinavian,2016-10-30 11:16:15,morning,weekend,6,WSW,Fair,57,14.0,50,10.0,8,0,12.87472,0.0,0.77,30,0,0
32,Muffin,2016-10-30 11:16:15,morning,weekend,6,WSW,Fair,57,14.0,50,10.0,8,0,12.87472,0.0,0.77,30,0,0
33,Coffee,2016-10-30 11:22:49,morning,weekend,6,WSW,Fair,57,14.0,50,10.0,8,0,12.87472,0.0,0.77,30,0,0
34,Coffee,2016-10-30 11:25:45,morning,weekend,6,WSW,Fair,57,14.0,50,10.0,8,0,12.87472,0.0,0.77,30,0,0
34,Muffin,2016-10-30 11:25:45,morning,weekend,6,WSW,Fair,57,14.0,50,10.0,8,0,12.87472,0.0,0.77,30,0,0
35,Muffin,2016-10-30 11:27:34,morning,weekend,6,WSW,Fair,57,14.0,50,10.0,8,0,12.87472,0.0,0.77,30,0,0
35,Scandinavian,2016-10-30 11:27:34,morning,weekend,6,WSW,Fair,57,14.0,50,10.0,8,0,12.87472,0.0,0.77,30,0,0
36,Tea,2016-10-30 11:33:08,morning,weekend,6,WSW,Fair,57,14.0,50,10.0,8,0,12.87472,0.0,0.77,30,0,0
36,Bread,2016-10-30 11:33:08,morning,weekend,6,WSW,Fair,57,14.0,50,10.0,8,0,12.87472,0.0,0.77,30,0,0
37,Coffee,2016-10-30 11:37:10,morning,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
37,Bread,2016-10-30 11:37:10,morning,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
38,Bread,2016-10-30 11:42:40,morning,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
38,Tea,2016-10-30 11:42:40,morning,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
39,Scandinavian,2016-10-30 11:44:31,morning,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
40,Juice,2016-10-30 11:55:51,morning,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
40,Tartine,2016-10-30 11:55:51,morning,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
40,Coffee,2016-10-30 11:55:51,morning,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
40,Muffin,2016-10-30 11:55:51,morning,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
41,Scandinavian,2016-10-30 11:57:06,morning,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
42,Bread,2016-10-30 11:57:45,morning,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
42,Tea,2016-10-30 11:57:45,morning,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
43,Scandinavian,2016-10-30 12:00:22,afternoon,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
43,Fudge,2016-10-30 12:00:22,afternoon,weekend,6,W,Mostly Cloudy,55,13.0,50,10.0,8,0,12.87472,0.0,0.82,30,0,0
44,Coffee,2016-10-30 12:05:47,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
44,Medialuna,2016-10-30 12:05:47,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
45,Coffee,2016-10-30 12:08:36,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
45,Hot chocolate,2016-10-30 12:08:36,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
45,Medialuna,2016-10-30 12:08:36,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
46,Coffee,2016-10-30 12:09:04,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
47,Ella's Kitchen Pouches,2016-10-30 12:15:29,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
47,Juice,2016-10-30 12:15:29,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
47,Bread,2016-10-30 12:15:29,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
47,Muffin,2016-10-30 12:15:29,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
47,Jam,2016-10-30 12:15:29,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
48,Coffee,2016-10-30 12:17:02,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
49,Coffee,2016-10-30 12:23:01,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
49,Coffee,2016-10-30 12:23:01,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
49,Medialuna,2016-10-30 12:23:01,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
50,Bread,2016-10-30 12:25:11,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
50,Victorian Sponge,2016-10-30 12:25:11,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
51,Bread,2016-10-30 12:26:58,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
52,Scandinavian,2016-10-30 12:28:07,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
54,Bread,2016-10-30 12:33:08,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,7,0,11.26538,0.0,0.82,30,0,0
55,Frittata,2016-10-30 12:38:06,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,6,0,9.65604,0.0,0.82,30,0,0
55,Coffee,2016-10-30 12:38:06,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,6,0,9.65604,0.0,0.82,30,0,0
55,Tea,2016-10-30 12:38:06,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,6,0,9.65604,0.0,0.82,30,0,0
55,Hearty & Seasonal,2016-10-30 12:38:06,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,6,0,9.65604,0.0,0.82,30,0,0
56,Coffee,2016-10-30 12:39:27,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,6,0,9.65604,0.0,0.82,30,0,0
56,Frittata,2016-10-30 12:39:27,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,6,0,9.65604,0.0,0.82,30,0,0
57,Scandinavian,2016-10-30 12:45:48,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,6,0,9.65604,0.0,0.82,30,0,0
58,Victorian Sponge,2016-10-30 12:59:29,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,6,0,9.65604,0.0,0.82,30,0,0
58,Hot chocolate,2016-10-30 12:59:29,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,6,0,9.65604,0.0,0.82,30,0,0
58,Tea,2016-10-30 12:59:29,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,6,0,9.65604,0.0,0.82,30,0,0
58,Soup,2016-10-30 12:59:29,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,6,0,9.65604,0.0,0.82,30,0,0
59,Tea,2016-10-30 13:02:04,afternoon,weekend,6,W,Fair,55,13.0,50,10.0,6,0,9.65604,0.0,0.82,30,0,0
60,Cookies,2016-10-30 13:14:04,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
60,Coffee,2016-10-30 13:14:04,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
60,Juice,2016-10-30 13:14:04,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
60,Coffee,2016-10-30 13:14:04,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
61,Coffee,2016-10-30 13:15:38,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
62,Pick and Mix Bowls,2016-10-30 13:24:00,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
62,Hearty & Seasonal,2016-10-30 13:24:00,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
62,Hearty & Seasonal,2016-10-30 13:24:00,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
62,Coffee,2016-10-30 13:24:00,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
62,Smoothies,2016-10-30 13:24:00,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
62,Coffee,2016-10-30 13:24:00,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
63,Coffee,2016-10-30 13:33:12,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
64,Cake,2016-10-30 13:34:07,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
65,Tartine,2016-10-30 13:37:25,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
65,Mighty Protein,2016-10-30 13:37:25,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
65,Tea,2016-10-30 13:37:25,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
65,Coffee,2016-10-30 13:37:25,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
66,Hearty & Seasonal,2016-10-30 13:40:20,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
66,Frittata,2016-10-30 13:40:20,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
66,Mineral water,2016-10-30 13:40:20,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
67,Hearty & Seasonal,2016-10-30 13:46:48,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
67,Mineral water,2016-10-30 13:46:48,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
67,Muffin,2016-10-30 13:46:48,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
68,Frittata,2016-10-30 13:49:36,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
68,Coffee,2016-10-30 13:49:36,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
68,Tea,2016-10-30 13:49:36,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
68,Scandinavian,2016-10-30 13:49:36,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
68,Chicken sand,2016-10-30 13:49:36,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
69,Bread,2016-10-30 13:51:49,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
69,Tea,2016-10-30 13:51:49,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
69,Victorian Sponge,2016-10-30 13:51:49,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
70,Fudge,2016-10-30 13:54:42,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
71,Muffin,2016-10-30 13:56:08,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
72,Coffee,2016-10-30 14:21:38,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
72,Bread,2016-10-30 14:21:38,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
73,Bread,2016-10-30 14:22:39,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
74,Coffee,2016-10-30 14:24:03,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
74,Bread,2016-10-30 14:24:03,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
75,Jam,2016-10-30 14:32:26,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
75,Frittata,2016-10-30 14:32:26,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
76,Coffee,2016-10-30 14:32:49,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,6,0,9.65604,0.0,0.77,30,0,0
77,Scandinavian,2016-10-30 14:35:36,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,7,0,11.26538,0.0,0.77,30,0,0
78,Fudge,2016-10-30 14:42:29,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,7,0,11.26538,0.0,0.77,30,0,0
79,Fudge,2016-10-30 14:45:44,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,7,0,11.26538,0.0,0.77,30,0,0
79,Tea,2016-10-30 14:45:44,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,7,0,11.26538,0.0,0.77,30,0,0
79,Coffee,2016-10-30 14:45:44,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,7,0,11.26538,0.0,0.77,30,0,0
79,Muffin,2016-10-30 14:45:44,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,7,0,11.26538,0.0,0.77,30,0,0
80,Frittata,2016-10-30 14:48:40,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,7,0,11.26538,0.0,0.77,30,0,0
80,Bread,2016-10-30 14:48:40,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,7,0,11.26538,0.0,0.77,30,0,0
80,Coffee,2016-10-30 14:48:40,afternoon,weekend,6,W,Fair,57,14.0,50,10.0,7,0,11.26538,0.0,0.77,30,0,0
81,Coffee,2016-10-31 08:28:31,morning,weekday,0,VAR,Fair,48,9.0,46,7.777777777777779,3,0,4.82802,0.0,0.93,30,0,0
81,Cake,2016-10-31 08:28:31,morning,weekday,0,VAR,Fair,48,9.0,46,7.777777777777779,3,0,4.82802,0.0,0.93,30,0,0
82,Tartine,2016-10-31 08:47:05,morning,weekday,0,W,Fair,50,10.0,46,7.777777777777779,6,0,9.65604,0.0,0.87,30,0,0
82,Bread,2016-10-31 08:47:05,morning,weekday,0,W,Fair,50,10.0,46,7.777777777777779,6,0,9.65604,0.0,0.87,30,0,0
83,Coffee,2016-10-31 08:57:47,morning,weekday,0,W,Fair,50,10.0,46,7.777777777777779,6,0,9.65604,0.0,0.87,30,0,0
83,Bread,2016-10-31 08:57:47,morning,weekday,0,W,Fair,50,10.0,46,7.777777777777779,6,0,9.65604,0.0,0.87,30,0,0
84,Bread,2016-10-31 09:04:06,morning,weekday,0,W,Fair,50,10.0,46,7.777777777777779,6,0,9.65604,0.0,0.87,30,0,0
85,Coffee,2016-10-31 09:10:09,morning,weekday,0,W,Fair,52,11.0,48,8.88888888888889,6,0,9.65604,0.0,0.88,30,0,0
85,Coffee,2016-10-31 09:10:09,morning,weekday,0,W,Fair,52,11.0,48,8.88888888888889,6,0,9.65604,0.0,0.88,30,0,0
85,Pastry,2016-10-31 09:10:09,morning,weekday,0,W,Fair,52,11.0,48,8.88888888888889,6,0,9.65604,0.0,0.88,30,0,0
85,Medialuna,2016-10-31 09:10:09,morning,weekday,0,W,Fair,52,11.0,48,8.88888888888889,6,0,9.65604,0.0,0.88,30,0,0
86,Juice,2016-10-31 09:11:08,morning,weekday,0,W,Fair,52,11.0,48,8.88888888888889,6,0,9.65604,0.0,0.88,30,0,0
87,Bread,2016-10-31 09:12:56,morning,weekday,0,W,Fair,52,11.0,48,8.88888888888889,6,0,9.65604,0.0,0.88,30,0,0
88,Coffee,2016-10-31 09:16:01,morning,weekday,0,W,Fair,52,11.0,48,8.88888888888889,6,0,9.65604,0.0,0.88,30,0,0
88,Coffee,2016-10-31 09:16:01,morning,weekday,0,W,Fair,52,11.0,48,8.88888888888889,6,0,9.65604,0.0,0.88,30,0,0
88,Jam,2016-10-31 09:16:01,morning,weekday,0,W,Fair,52,11.0,48,8.88888888888889,6,0,9.65604,0.0,0.88,30,0,0
89,Bread,2016-10-31 09:19:41,morning,weekday,0,W,Fair,52,11.0,48,8.88888888888889,6,0,9.65604,0.0,0.88,30,0,0
90,Bread,2016-10-31 09:20:12,morning,weekday,0,W,Fair,52,11.0,48,8.88888888888889,6,0,9.65604,0.0,0.88,30,0,0
90,Coffee,2016-10-31 09:20:12,morning,weekday,0,W,Fair,52,11.0,48,8.88888888888889,6,0,9.65604,0.0,0.88,30,0,0
