Transaction,Item,date_time,period_day,weekday_weekend,weekday
74,Coffee,2016-10-30 14:24:03,afternoon,weekend,6
74,Bread,2016-10-30 14:24:03,afternoon,weekend,6
75,Jam,2016-10-30 14:32:26,afternoon,weekend,6
75,Frittata,2016-10-30 14:32:26,afternoon,weekend,6
76,Coffee,2016-10-30 14:32:49,afternoon,weekend,6
77,Scandinavian,2016-10-30 14:35:36,afternoon,weekend,6
78,Fudge,2016-10-30 14:42:29,afternoon,weekend,6
79,Fudge,2016-10-30 14:45:44,afternoon,weekend,6
79,Tea,2016-10-30 14:45:44,afternoon,weekend,6
79,Coffee,2016-10-30 14:45:44,afternoon,weekend,6
79,Muffin,2016-10-30 14:45:44,afternoon,weekend,6
80,Frittata,2016-10-30 14:48:40,afternoon,weekend,6
80,Bread,2016-10-30 14:48:40,afternoon,weekend,6
80,Coffee,2016-10-30 14:48:40,afternoon,weekend,6
81,Coffee,2016-10-31 08:28:31,morning,weekday,0
81,Cake,2016-10-31 08:28:31,morning,weekday,0
82,Tartine,2016-10-31 08:47:05,morning,weekday,0
82,Bread,2016-10-31 08:47:05,morning,weekday,0
83,Coffee,2016-10-31 08:57:47,morning,weekday,0
83,Bread,2016-10-31 08:57:47,morning,weekday,0
84,Bread,2016-10-31 09:04:06,morning,weekday,0
85,Coffee,2016-10-31 09:10:09,morning,weekday,0
85,Coffee,2016-10-31 09:10:09,morning,weekday,0
85,Pastry,2016-10-31 09:10:09,morning,weekday,0
85,Medialuna,2016-10-31 09:10:09,morning,weekday,0
86,Juice,2016-10-31 09:11:08,morning,weekday,0
87,Bread,2016-10-31 09:12:56,morning,weekday,0
88,Coffee,2016-10-31 09:16:01,morning,weekday,0
88,Coffee,2016-10-31 09:16:01,morning,weekday,0
88,Jam,2016-10-31 09:16:01,morning,weekday,0
89,Bread,2016-10-31 09:19:41,morning,weekday,0
90,Bread,2016-10-31 09:20:12,morning,weekday,0
90,Coffee,2016-10-31 09:20:12,morning,weekday,0
91,Tea,2016-10-31 09:22:48,morning,weekday,0
92,Coffee,2016-10-31 09:27:11,morning,weekday,0
93,Bread,2016-10-31 09:29:23,morning,weekday,0
93,Coke,2016-10-31 09:29:23,morning,weekday,0
94,Coffee,2016-10-31 09:39:09,morning,weekday,0
94,Coffee,2016-10-31 09:39:09,morning,weekday,0
95,Tea,2016-10-31 09:43:37,morning,weekday,0
95,Pastry,2016-10-31 09:43:37,morning,weekday,0
95,Farm House,2016-10-31 09:43:37,morning,weekday,0
96,Pastry,2016-10-31 09:46:48,morning,weekday,0
96,Pastry,2016-10-31 09:46:48,morning,weekday,0
96,Coffee,2016-10-31 09:46:48,morning,weekday,0
96,Juice,2016-10-31 09:46:48,morning,weekday,0
97,Coffee,2016-10-31 09:51:11,morning,weekday,0
97,Pastry,2016-10-31 09:51:11,morning,weekday,0
97,Juice,2016-10-31 09:51:11,morning,weekday,0
98,Farm House,2016-10-31 09:52:22,morning,weekday,0
99,Pastry,2016-10-31 09:56:37,morning,weekday,0
99,Pastry,2016-10-31 09:56:37,morning,weekday,0
99,Coffee,2016-10-31 09:56:37,morning,weekday,0
99,Bread,2016-10-31 09:56:37,morning,weekday,0
100,Bread,2016-10-31 09:58:06,morning,weekday,0
101,Coffee,2016-10-31 10:04:02,morning,weekday,0
101,Pastry,2016-10-31 10:04:02,morning,weekday,0
102,Farm House,2016-10-31 10:04:44,morning,weekday,0
103,Bread,2016-10-31 10:07:40,morning,weekday,0
104,Coffee,2016-10-31 10:12:48,morning,weekday,0
104,Coffee,2016-10-31 10:12:48,morning,weekday,0
104,Medialuna,2016-10-31 10:12:48,morning,weekday,0
104,Muffin,2016-10-31 10:12:48,morning,weekday,0
104,Coffee,2016-10-31 10:12:48,morning,weekday,0
105,Coffee,2016-10-31 10:21:29,morning,weekday,0
105,Tea,2016-10-31 10:21:29,morning,weekday,0
105,Cake,2016-10-31 10:21:29,morning,weekday,0
106,Coffee,2016-10-31 10:24:21,morning,weekday,0
106,Coffee,2016-10-31 10:24:21,morning,weekday,0
106,Pastry,2016-10-31 10:24:21,morning,weekday,0
106,Pastry,2016-10-31 10:24:21,morning,weekday,0
107,Coffee,2016-10-31 10:27:30,morning,weekday,0
107,Tea,2016-10-31 10:27:30,morning,weekday,0
108,Farm House,2016-10-31 10:31:05,morning,weekday,0
108,Muffin,2016-10-31 10:31:05,morning,weekday,0
109,Bread,2016-10-31 10:35:23,morning,weekday,0
109,Muffin,2016-10-31 10:35:23,morning,weekday,0
109,Pastry,2016-10-31 10:35:23,morning,weekday,0
110,Pastry,2016-10-31 10:36:37,morning,weekday,0
111,Coffee,2016-10-31 10:38:09,morning,weekday,0
112,Coffee,2016-10-31 10:59:17,morning,weekday,0
113,Coffee,2016-10-31 11:02:37,morning,weekday,0
113,Cake,2016-10-31 11:02:37,morning,weekday,0
114,Farm House,2016-10-31 11:05:45,morning,weekday,0
115,Bread,2016-10-31 11:08:53,morning,weekday,0
116,Coffee,2016-10-31 11:11:01,morning,weekday,0
117,Cookies,2016-10-31 11:13:08,morning,weekday,0
117,Cake,2016-10-31 11:13:08,morning,weekday,0
117,Coffee,2016-10-31 11:13:08,morning,weekday,0
117,My-5 Fruit Shoot,2016-10-31 11:13:08,morning,weekday,0
118,Cookies,2016-10-31 11:18:29,morning,weekday,0
118,Cookies,2016-10-31 11:18:29,morning,weekday,0
118,Tea,2016-10-31 11:18:29,morning,weekday,0
118,Pastry,2016-10-31 11:18:29,morning,weekday,0
119,Coffee,2016-10-31 11:25:56,morning,weekday,0
119,Coffee,2016-10-31 11:25:56,morning,weekday,0
119,Muffin,2016-10-31 11:25:56,morning,weekday,0
120,Farm House,2016-10-31 11:29:01,morning,weekday,0
121,Coffee,2016-10-31 11:30:59,morning,weekday,0
121,Bread,2016-10-31 11:30:59,morning,weekday,0
122,Cookies,2016-10-31 11:37:30,morning,weekday,0
123,Jam,2016-10-31 11:42:05,morning,weekday,0
123,Coffee,2016-10-31 11:42:05,morning,weekday,0
123,Coffee,2016-10-31 11:42:05,morning,weekday,0
123,Juice,2016-10-31 11:42:05,morning,weekday,0
124,Coffee,2016-10-31 11:43:10,morning,weekday,0
124,Soup,2016-10-31 11:43:10,morning,weekday,0
125,Tea,2016-10-31 11:47:18,morning,weekday,0
126,Coffee,2016-10-31 11:52:43,morning,weekday,0
126,Jam,2016-10-31 11:52:43,morning,weekday,0
127,Farm House,2016-10-31 11:53:11,morning,weekday,0
128,Tartine,2016-10-31 11:55:00,morning,weekday,0
128,Coffee,2016-10-31 11:55:00,morning,weekday,0
128,Tea,2016-10-31 11:55:00,morning,weekday,0
129,Coffee,2016-10-31 11:59:23,morning,weekday,0
129,Coffee,2016-10-31 11:59:23,morning,weekday,0
129,Cake,2016-10-31 11:59:23,morning,weekday,0
130,Coffee,2016-10-31 12:03:12,afternoon,weekday,0
130,Coffee,2016-10-31 12:03:12,afternoon,weekday,0
130,Muffin,2016-10-31 12:03:12,afternoon,weekday,0
131,Bread,2016-10-31 12:08:28,afternoon,weekday,0
131,Coffee,2016-10-31 12:08:28,afternoon,weekday,0
132,Tea,2016-10-31 12:14:20,afternoon,weekday,0
132,Juice,2016-10-31 12:14:20,afternoon,weekday,0
132,Pick and Mix Bowls,2016-10-31 12:14:20,afternoon,weekday,0
132,Cookies,2016-10-31 12:14:20,afternoon,weekday,0
133,Hearty & Seasonal,2016-10-31 12:16:32,afternoon,weekday,0
133,Soup,2016-10-31 12:16:32,afternoon,weekday,0
134,Hearty & Seasonal,2016-10-31 12:19:37,afternoon,weekday,0
134,Tea,2016-10-31 12:19:37,afternoon,weekday,0
134,Farm House,2016-10-31 12:19:37,afternoon,weekday,0
135,Bread,2016-10-31 12:20:21,afternoon,weekday,0
136,Tea,2016-10-31 12:27:41,afternoon,weekday,0
136,Soup,2016-10-31 12:27:41,afternoon,weekday,0
137,Farm House,2016-10-31 12:37:07,afternoon,weekday,0
138,Soup,2016-10-31 12:43:35,afternoon,weekday,0
138,Hearty & Seasonal,2016-10-31 12:43:35,afternoon,weekday,0
138,Coffee,2016-10-31 12:43:35,afternoon,weekday,0
139,Bread,2016-10-31 12:50:57,afternoon,weekday,0
139,Muffin,2016-10-31 12:50:57,afternoon,weekday,0
139,Hearty & Seasonal,2016-10-31 12:50:57,afternoon,weekday,0
140,Coffee,2016-10-31 12:53:33,afternoon,weekday,0
140,Coffee,2016-10-31 12:53:33,afternoon,weekday,0
140,Cookies,2016-10-31 12:53:33,afternoon,weekday,0
141,Bread,2016-10-31 12:54:28,afternoon,weekday,0
142,Tea,2016-10-31 12:56:47,afternoon,weekday,0
142,Muffin,2016-10-31 12:56:47,afternoon,weekday,0
143,Tea,2016-10-31 12:59:08,afternoon,weekday,0
144,Soup,2016-10-31 13:02:11,afternoon,weekday,0
144,Hearty & Seasonal,2016-10-31 13:02:11,afternoon,weekday,0
145,Coffee,2016-10-31 13:05:49,afternoon,weekday,0
145,Tea,2016-10-31 13:05:49,afternoon,weekday,0
145,Focaccia,2016-10-31 13:05:49,afternoon,weekday,0
146,Sandwich,2016-10-31 13:08:30,afternoon,weekday,0
147,Tartine,2016-10-31 13:09:31,afternoon,weekday,0
147,Coffee,2016-10-31 13:09:31,afternoon,weekday,0
148,Fudge,2016-10-31 13:21:17,afternoon,weekday,0
148,Coffee,2016-10-31 13:21:17,afternoon,weekday,0
148,Coffee,2016-10-31 13:21:17,afternoon,weekday,0
149,Coffee,2016-10-31 13:26:03,afternoon,weekday,0
150,Bread,2016-10-31 13:31:33,afternoon,weekday,0
151,Coke,2016-10-31 13:50:17,afternoon,weekday,0
151,Soup,2016-10-31 13:50:17,afternoon,weekday,0
152,Muffin,2016-10-31 13:51:18,afternoon,weekday,0
153,Tea,2016-10-31 13:55:22,afternoon,weekday,0
153,Coffee,2016-10-31 13:55:22,afternoon,weekday,0
153,Cookies,2016-10-31 13:55:22,afternoon,weekday,0
153,Muffin,2016-10-31 13:55:22,afternoon,weekday,0
154,Mighty Protein,2016-10-31 14:00:21,afternoon,weekday,0
154,Hearty & Seasonal,2016-10-31 14:00:21,afternoon,weekday,0
154,Coffee,2016-10-31 14:00:21,afternoon,weekday,0
154,Coke,2016-10-31 14:00:21,afternoon,weekday,0
155,Tea,2016-10-31 14:01:30,afternoon,weekday,0
155,Muffin,2016-10-31 14:01:30,afternoon,weekday,0
155,Sandwich,2016-10-31 14:01:30,afternoon,weekday,0
156,Coffee,2016-10-31 14:04:16,afternoon,weekday,0
156,Muffin,2016-10-31 14:04:16,afternoon,weekday,0
157,Coffee,2016-10-31 14:05:07,afternoon,weekday,0
157,Bread,2016-10-31 14:05:07,afternoon,weekday,0
158,Coffee,2016-10-31 14:20:29,afternoon,weekday,0
158,Muffin,2016-10-31 14:20:29,afternoon,weekday,0
159,Bread,2016-10-31 14:22:31,afternoon,weekday,0
159,Hot chocolate,2016-10-31 14:22:31,afternoon,weekday,0
159,Cookies,2016-10-31 14:22:31,afternoon,weekday,0
160,Mineral water,2016-10-31 14:35:27,afternoon,weekday,0
160,Muffin,2016-10-31 14:35:27,afternoon,weekday,0
161,Tea,2016-10-31 14:42:34,afternoon,weekday,0
162,Muffin,2016-10-31 14:44:48,afternoon,weekday,0
163,Coffee,2016-10-31 14:47:16,afternoon,weekday,0
163,Juice,2016-10-31 14:47:16,afternoon,weekday,0
164,Coffee,2016-10-31 14:47:36,afternoon,weekday,0
164,Muffin,2016-10-31 14:47:36,afternoon,weekday,0
165,Tea,2016-10-31 14:48:49,afternoon,weekday,0
166,Coffee,2016-10-31 14:49:28,afternoon,weekday,0
166,Muffin,2016-10-31 14:49:28,afternoon,weekday,0
167,Sandwich,2016-10-31 14:50:42,afternoon,weekday,0
167,Hearty & Seasonal,2016-10-31 14:50:42,afternoon,weekday,0
167,Bread,2016-10-31 14:50:42,afternoon,weekday,0
167,Mineral water,2016-10-31 14:50:42,afternoon,weekday,0
168,Tea,2016-10-31 14:56:25,afternoon,weekday,0
168,Coffee,2016-10-31 14:56:25,afternoon,weekday,0
169,Mineral water,2016-10-31 15:05:17,afternoon,weekday,0
170,Coffee,2016-10-31 15:16:49,afternoon,weekday,0
171,Soup,2016-10-31 15:20:16,afternoon,weekday,0
171,Tea,2016-10-31 15:20:16,afternoon,weekday,0
172,Bread,2016-10-31 17:06:47,evening,weekday,0
172,Coffee,2016-10-31 17:06:47,evening,weekday,0
173,Bread,2016-10-31 17:08:09,evening,weekday,0
173,Muffin,2016-10-31 17:08:09,evening,weekday,0
174,Coffee,2016-10-31 17:40:21,evening,weekday,0
175,Bread,2016-10-31 17:49:42,evening,weekday,0
176,Cookies,2016-10-31 18:22:24,evening,weekday,0
176,Coffee,2016-10-31 18:22:24,evening,weekday,0
178,Coffee,2016-11-01 07:51:20,morning,weekday,1
178,Pastry,2016-11-01 07:51:20,morning,weekday,1
179,Coffee,2016-11-01 08:20:50,morning,weekday,1
179,Pastry,2016-11-01 08:20:50,morning,weekday,1
180,Jam,2016-11-01 08:22:28,morning,weekday,1
180,Tea,2016-11-01 08:22:28,morning,weekday,1
181,Tea,2016-11-01 08:45:20,morning,weekday,1
181,Tea,2016-11-01 08:45:20,morning,weekday,1
182,Pastry,2016-11-01 09:07:47,morning,weekday,1
182,Pastry,2016-11-01 09:07:47,morning,weekday,1
182,Ella's Kitchen Pouches,2016-11-01 09:07:47,morning,weekday,1
183,Pastry,2016-11-01 09:09:26,morning,weekday,1
184,Farm House,2016-11-01 09:26:03,morning,weekday,1
184,Tea,2016-11-01 09:26:03,morning,weekday,1
185,Tea,2016-11-01 09:29:25,morning,weekday,1
185,Victorian Sponge,2016-11-01 09:29:25,morning,weekday,1
186,Tea,2016-11-01 09:43:13,morning,weekday,1
186,Pastry,2016-11-01 09:43:13,morning,weekday,1
187,Bread,2016-11-01 10:02:27,morning,weekday,1
188,Coffee,2016-11-01 10:04:05,morning,weekday,1
189,Bread,2016-11-01 10:29:02,morning,weekday,1
189,Coffee,2016-11-01 10:29:02,morning,weekday,1
190,Coffee,2016-11-01 10:34:53,morning,weekday,1
190,Pastry,2016-11-01 10:34:53,morning,weekday,1
190,Pastry,2016-11-01 10:34:53,morning,weekday,1
191,Soup,2016-11-01 10:50:50,morning,weekday,1
191,Tea,2016-11-01 10:50:50,morning,weekday,1
192,Bread,2016-11-01 10:56:08,morning,weekday,1
193,Coffee,2016-11-01 11:00:48,morning,weekday,1
194,Bread,2016-11-01 11:04:36,morning,weekday,1
194,Bread,2016-11-01 11:04:36,morning,weekday,1
195,Bread,2016-11-01 11:06:09,morning,weekday,1
195,Scandinavian,2016-11-01 11:06:09,morning,weekday,1
196,Bread,2016-11-01 11:08:18,morning,weekday,1
196,Cake,2016-11-01 11:08:18,morning,weekday,1
196,Cookies,2016-11-01 11:08:18,morning,weekday,1
197,Coffee,2016-11-01 11:10:11,morning,weekday,1
197,Coffee,2016-11-01 11:10:11,morning,weekday,1
197,Tea,2016-11-01 11:10:11,morning,weekday,1
198,Coffee,2016-11-01 11:11:58,morning,weekday,1
198,Cookies,2016-11-01 11:11:58,morning,weekday,1
199,Coffee,2016-11-01 11:13:20,morning,weekday,1
200,Bread,2016-11-01 11:16:30,morning,weekday,1
201,Coffee,2016-11-01 11:22:36,morning,weekday,1
201,Pastry,2016-11-01 11:22:36,morning,weekday,1
202,Coffee,2016-11-01 11:23:19,morning,weekday,1
202,Coffee,2016-11-01 11:23:19,morning,weekday,1
203,Coffee,2016-11-01 11:25:53,morning,weekday,1
204,Scandinavian,2016-11-01 11:30:00,morning,weekday,1
204,Bread,2016-11-01 11:30:00,morning,weekday,1
205,Coffee,2016-11-01 11:49:31,morning,weekday,1
205,Coffee,2016-11-01 11:49:31,morning,weekday,1
205,Pastry,2016-11-01 11:49:31,morning,weekday,1
206,Scandinavian,2016-11-01 11:54:17,morning,weekday,1
206,Coffee,2016-11-01 11:54:17,morning,weekday,1
206,Pastry,2016-11-01 11:54:17,morning,weekday,1
207,Hearty & Seasonal,2016-11-01 12:03:37,afternoon,weekday,1
207,Coffee,2016-11-01 12:03:37,afternoon,weekday,1
207,Muffin,2016-11-01 12:03:37,afternoon,weekday,1
208,Bread,2016-11-01 12:10:09,afternoon,weekday,1
209,Coffee,2016-11-01 12:10:38,afternoon,weekday,1
210,Scandinavian,2016-11-01 12:12:26,afternoon,weekday,1
211,Soup,2016-11-01 12:15:36,afternoon,weekday,1
211,Coffee,2016-11-01 12:15:36,afternoon,weekday,1
212,Coffee,2016-11-01 12:20:30,afternoon,weekday,1
212,Cookies,2016-11-01 12:20:30,afternoon,weekday,1
212,Tartine,2016-11-01 12:20:30,afternoon,weekday,1
213,Bread,2016-11-01 12:22:04,afternoon,weekday,1
214,Bread,2016-11-01 12:26:43,afternoon,weekday,1
214,Tea,2016-11-01 12:26:43,afternoon,weekday,1
214,Tea,2016-11-01 12:26:43,afternoon,weekday,1
215,Pastry,2016-11-01 12:30:30,afternoon,weekday,1
215,Coffee,2016-11-01 12:30:30,afternoon,weekday,1
216,Tartine,2016-11-01 12:31:30,afternoon,weekday,1
216,Coffee,2016-11-01 12:31:30,afternoon,weekday,1
217,Bread,2016-11-01 12:33:31,afternoon,weekday,1
217,Cookies,2016-11-01 12:33:31,afternoon,weekday,1
218,Sandwich,2016-11-01 12:37:29,afternoon,weekday,1
219,Tartine,2016-11-01 12:41:16,afternoon,weekday,1
220,Bread,2016-11-01 12:49:16,afternoon,weekday,1
220,Pastry,2016-11-01 12:49:16,afternoon,weekday,1
221,Bread,2016-11-01 12:53:18,afternoon,weekday,1
221,Scandinavian,2016-11-01 12:53:18,afternoon,weekday,1
222,Scandinavian,2016-11-01 13:08:46,afternoon,weekday,1
223,Alfajores,2016-11-01 13:11:34,afternoon,weekday,1
223,Coffee,2016-11-01 13:11:34,afternoon,weekday,1
224,Coffee,2016-11-01 13:15:08,afternoon,weekday,1
225,Coffee,2016-11-01 13:19:00,afternoon,weekday,1
225,Coke,2016-11-01 13:19:00,afternoon,weekday,1
225,Soup,2016-11-01 13:19:00,afternoon,weekday,1
226,Cake,2016-11-01 13:21:52,afternoon,weekday,1
227,Tea,2016-11-01 13:31:35,afternoon,weekday,1
227,Sandwich,2016-11-01 13:31:35,afternoon,weekday,1
227,Soup,2016-11-01 13:31:35,afternoon,weekday,1
